imgname,longitude,latitude,Number of signs on image,Number of texts per sign,language total,both script systems,content
minus-3315.png,19.83867638,45.24257619,1,1,SE,1,Nationalist
minus-3238.png,19.84919405,45.24050191,1,1,SE,0,Neighborhood Identity
minus-3031.png,19.82996134,45.23747382,not readable,,#N/A,,#N/A
minus-3029.png,19.82983779,45.23744129,not readable,,#N/A,,#N/A
minus-3022.png,19.82940536,45.23732744,not readable,,#N/A,,#N/A
minus-2950.png,19.84583042,45.24293619,not categorizable,,#N/A,,#N/A
minus-2735.png,19.82672487,45.23831334,1,1,SE,0,Politics
minus-2644.png,19.84457803,45.2437266,1,1,SE,0,Sport
minus-2639.png,19.84473202,45.24344677,not readable,,#N/A,,#N/A
minus-2555.png,19.84633301,45.24362376,1,1,SE,1,Neighborhood Identity
minus-2555.png,19.84633301,45.24362376,1,1,SE,1,Politics
minus-2555.png,19.84633301,45.24362376,1,1,SE,1,Sport
minus-2345.png,19.8400985,45.23609255,1,1,SE,1,Neighborhood Identity
minus-2345.png,19.8400985,45.23609255,1,1,SE,1,Politics
minus-2345.png,19.8400985,45.23609255,1,1,SE,1,Sport
minus-2344.png,19.84012848,45.23603614,1,1,SE,1,Neighborhood Identity
minus-2344.png,19.84012848,45.23603614,1,1,SE,1,Politics
minus-1803.png,19.84284467,45.23662461,not readable,,#N/A,,#N/A
minus-1697.png,19.84178495,45.24795847,1,1,"SE, EN",1,Sport
minus-1697.png,19.84178495,45.24795847,1,1,"SE, EN",1,Neighborhood Identity
minus-1697.png,19.84178495,45.24795847,1,1,"SE, EN",1,Address to Person
minus-1695.png,19.84170068,45.24786244,1,1,SE,1,Sport
minus-1695.png,19.84170068,45.24786244,1,1,SE,1,Neighborhood Identity
minus-1695.png,19.84170068,45.24786244,1,1,SE,1,Nationalist
minus-1664.png,19.84552185,45.24388124,1,1,SE,1,Sport
minus-1664.png,19.84552185,45.24388124,1,1,SE,1,Neighborhood Identity
minus-1658.png,19.82998499,45.24016337,1,1,SE,0,Sport
minus-1658.png,19.82998499,45.24016337,1,1,SE,0,Neighborhood Identity
minus-1599.png,19.83548973,45.24389437,1,1,SE,0,Nationalist
minus-1599.png,19.83548973,45.24389437,1,1,SE,0,Politics
minus-1599.png,19.83548973,45.24389437,1,1,SE,0,Sport
minus-1590.png,19.82777854,45.24007216,1,1,SE,0,Neighborhood Identity
minus-1527.png,19.83363517,45.24218528,not readable,,"SE, EN",1,#N/A
minus-1526.png,19.83361129,45.24224453,1,3,"SE, EN",1,Sport
minus-1526.png,19.83361129,45.24224453,1,3,"SE, EN",1,Politics
minus-1526.png,19.83361129,45.24224453,1,3,"SE, EN",1,Address to Person
minus-1415.png,19.83044741,45.23828839,not categorizable,,SE,,#N/A
minus-991.png,19.83965567,45.24209196,2,1,SE,1,Politics
minus-991.png,19.83965567,45.24209196,2,1,SE,1,Neighborhood Identity
minus-991.png,19.83965567,45.24209196,2,1,SE,1,Address to Person
minus-985.png,19.84224055,45.24792201,not readable,,#N/A,,#N/A
minus-862.png,19.84714932,45.2467341,not readable,,#N/A,,#N/A
minus-722.png,19.84502293,45.24109388,1,2,SE,1,Sport
minus-722.png,19.84502293,45.24109388,1,2,SE,1,Neighborhood Identity
minus-720.png,19.84489899,45.2410629,1,3,"SE, EN",1,Sport
minus-720.png,19.84489899,45.2410629,1,3,"SE, EN",1,Neighborhood Identity
minus-720.png,19.84489899,45.2410629,1,3,"SE, EN",1,Nationalist
minus-678.png,19.83107465,45.24118773,1,3,"SE, EN",1,Sport
minus-598.png,19.82765413,45.23970762,3,1,"SE, EN",1,Sport
minus-598.png,19.82765413,45.23970762,3,1,"SE, EN",1,Politics
minus-598.png,19.82765413,45.23970762,3,1,"SE, EN",1,Neighborhood Identity
minus-590.png,19.84646748,45.24459345,not readable,,,,#N/A
minus-485.png,19.84616804,45.24188377,1,1,EN,0,Sport
minus-2.png,19.83798828,45.24464796,1,1,SE,0,Sport
